Season	Family	Species	Interval	TreeNumber	MeanGs	MeanLWP
Spring17	Rutaceae	AE	1	1	76.63333333	9.5
Spring17	Rutaceae	AE	1	2	165.8	11
Spring17	Rutaceae	AE	1	6	144.125	11
Spring17	Rutaceae	AE	1	4	85.53333333	11
Spring17	Rutaceae	AE	1	5	111.1333333	11
Spring17	Rutaceae	AE	2	1	69.23333333	11.5
Spring17	Rutaceae	AE	2	2	210.5333333	10
Spring17	Rutaceae	AE	2	6	219.4	11
Spring17	Rutaceae	AE	2	4	152.9333333	15
Spring17	Rutaceae	AE	2	5	281.5666667	22.5
Spring17	Rutaceae	AE	3	1	168.6	14.5
Spring17	Rutaceae	AE	3	2	303.075	20.5
Spring17	Rutaceae	AE	3	6	290.175	19
Spring17	Rutaceae	AE	3	4	232.3	20
Spring17	Rutaceae	AE	3	5	209.1	26
Spring17	Rutaceae	AE	4	1	174.125	18
Spring17	Rutaceae	AE	4	2	334.6	23.5
Spring17	Rutaceae	AE	4	6	284.6	23.5
Spring17	Rutaceae	AE	4	4	246	23.5
Spring17	Rutaceae	AE	4	5	245.475	28
Spring17	Rutaceae	AE	5	1	203.7666667	21
Spring17	Rutaceae	AE	5	2	391.8	25
Spring17	Rutaceae	AE	5	6	337.3	23.5
Spring17	Rutaceae	AE	5	4	286.2	26
Spring17	Rutaceae	AE	5	5	258.9	24.5
Spring17	Rutaceae	AE	6	1	144.4	24.5
Spring17	Rutaceae	AE	6	2	356.2	23.5
Spring17	Rutaceae	AE	6	6	223.3	21.5
Spring17	Rutaceae	AE	6	4	183.8	18
Spring17	Rutaceae	AE	6	5	157.1	18.5
Spring17	Boraginaceae	BS	1	1	79.86666667	11.5
Spring17	Boraginaceae	BS	1	2	87.96666667	16.5
Spring17	Boraginaceae	BS	1	3	52.4	12.5
Spring17	Boraginaceae	BS	1	4	121.5666667	11.5
Spring17	Boraginaceae	BS	1	5	96.96666667	12.5
Spring17	Boraginaceae	BS	2	1	134.9333333	12.5
Spring17	Boraginaceae	BS	2	2	154.0333333	16
Spring17	Boraginaceae	BS	2	3	179.6333333	12
Spring17	Boraginaceae	BS	2	4	193.3	13.5
Spring17	Boraginaceae	BS	2	5	180.6	14.5
Spring17	Boraginaceae	BS	3	1	224.9	11
Spring17	Boraginaceae	BS	3	2	241.7666667	19
Spring17	Boraginaceae	BS	3	3	294.9	17
Spring17	Boraginaceae	BS	3	4	331.9666667	19
Spring17	Boraginaceae	BS	3	5	405.575	19
Spring17	Boraginaceae	BS	4	1	355.9	12
Spring17	Boraginaceae	BS	4	2	310.8	19
Spring17	Boraginaceae	BS	4	3	325.1333333	19
Spring17	Boraginaceae	BS	4	4	367.6	24
Spring17	Boraginaceae	BS	4	5	434	25
Spring17	Boraginaceae	BS	5	1	529.8666667	19
Spring17	Boraginaceae	BS	5	2	301.2	22.5
Spring17	Boraginaceae	BS	5	3	420.0333333	18
