Season	Family	Species	Interval	Tree_ID	Mean_gs_tree 	Mean_VPD_Krober_tree	Mean_lwp_tree
Spring 17	Rutaceae	AE	1	1	76.63333333	8.496464532	9.5
Spring 17	Rutaceae	AE	1	2	165.8	8.414256734	11
Spring 17	Rutaceae	AE	1	6	144.125	8.062296603	11
Spring 17	Rutaceae	AE	1	4	85.53333333	7.951188789	11
Spring 17	Rutaceae	AE	1	5	111.1333333	8.068019307	11
Spring 17	Rutaceae	AE	2	1	69.23333333	8.439176024	11.5
Spring 17	Rutaceae	AE	2	2	210.5333333	9.137117589	10
Spring 17	Rutaceae	AE	2	6	219.4	9.333725117	11
Spring 17	Rutaceae	AE	2	4	152.9333333	10.10686817	15
Spring 17	Rutaceae	AE	2	5	281.5666667	9.838463217	22.5
Spring 17	Rutaceae	AE	3	1	168.6	9.070734093	14.5
Spring 17	Rutaceae	AE	3	2	303.075	8.782220345	20.5
Spring 17	Rutaceae	AE	3	6	290.175	9.421465036	19
Spring 17	Rutaceae	AE	3	4	232.3	9.19243444	20
Spring 17	Rutaceae	AE	3	5	209.05	9.178388748	26
Spring 17	Rutaceae	AE	4	1	174.125	7.816885755	18
Spring 17	Rutaceae	AE	4	2	334.6	8.233383369	23.5
Spring 17	Rutaceae	AE	4	6	284.4333333	8.59271631	23.5
Spring 17	Rutaceae	AE	4	4	245.9666667	9.830746961	23.5
Spring 17	Rutaceae	AE	4	5	245.475	10.01867305	28
Spring 17	Rutaceae	AE	5	1	203.7666667	13.16685735	21
Spring 17	Rutaceae	AE	5	1	391.8333333	14.71209528	25
Spring 17	Rutaceae	AE	5	6	337.3	15.73254427	23.5
Spring 17	Rutaceae	AE	5	4	286.2	14.93423856	26
Spring 17	Rutaceae	AE	5	5	258.9	15.44631492	24.5
Spring 17	Rutaceae	AE	6	1	144.4	15.19860471	24.5
Spring 17	Rutaceae	AE	6	2	356.2	16.7823062	23.5
Spring 17	Rutaceae	AE	6	6	223.325	13.54394071	21.5
Spring 17	Rutaceae	AE	6	4	183.8	14.35318542	18
Spring 17	Rutaceae	AE	6	5	157.075	12.70020042	18.5
Spring 17	Boraginaceae	BS	1	1	79.86666667	2.662427083	11.5
Spring 17	Boraginaceae	BS	1	2	87.96666667	3.254077546	16.5
Spring 17	Boraginaceae	BS	1	3	52.4	3.254077546	12.5
Spring 17	Boraginaceae	BS	1	4	121.5666667	3.254077546	11.5
Spring 17	Boraginaceae	BS	1	5	96.96666667	3.254077546	12.5
Spring 17	Boraginaceae	BS	2	1	134.9333333	5.88238815	12.5
Spring 17	Boraginaceae	BS	2	2	154.0333333	5.88238815	16
Spring 17	Boraginaceae	BS	2	3	179.6333333	5.88238815	12
Spring 17	Boraginaceae	BS	2	4	193.3	5.88238815	13.5
Spring 17	Boraginaceae	BS	2	5	180.6	12.31196322	14.5
Spring 17	Boraginaceae	BS	3	1	224.9	13.54082119	11
Spring 17	Boraginaceae	BS	3	2	241.7666667	13.54082119	19
Spring 17	Boraginaceae	BS	3	3	294.9	13.54082119	17
Spring 17	Boraginaceae	BS	3	4	331.9666667	13.54082119	19
Spring 17	Boraginaceae	BS	3	5	405.575	13.75676861	19
Spring 17	Boraginaceae	BS	4	1	355.9	14.82827588	12
Spring 17	Boraginaceae	BS	4	2	310.8	14.82827588	19
Spring 17	Boraginaceae	BS	4	3	325.1333333	14.82827588	19
Spring 17	Boraginaceae	BS	4	4	367.6	14.82827588	24
Spring 17	Boraginaceae	BS	4	5	434	14.82827588	25
Spring 17	Boraginaceae	BS	5	1	529.8666667	16.18301629	19
Spring 17	Boraginaceae	BS	5	2	301.2	16.18301629	22.5
